ID,CALL,CN,TYPE
06E0DC7A,,JM,
06DD9E31,,EI,
06XXXXXX,,E1,
06DDC15A,,1G,
06DDB58A,,H1,
06DDA756,,999,
06XXXXXX,,TA,
06XXXXXX,,1R,
06XXXXXX,,FR,
06DDA3BD,,T,
06XXXXXX,,T1,
06XXXXXX,,XN,
06C9EE5F,,LC,
06C8E459,,WJ,
06DDFE29,,IGP,
06EBC855,,SW,
06DDECF2,,ZG,
06DD8sF6,,SQ,
06XXXXXX,,1,
06DD85BD,,MI,
06CEC858,,P9,
06DD8E27,,MS,
06DD9A95,,33,
